survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,W,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,WWDO,White-winged Dove,FT,1,,True,False,W,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,HOFI,House Finch,10-20,1,,False,True,SE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,4,,True,False,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,CBTH,Curve-billed Thrasher,40+,1,,False,True,N,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,WWDO,White-winged Dove,FT,4,,True,False,N,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,GIWO,Gila Woodpecker,40+,1,,False,True,W,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,GAQU,Gambel's Quail,10-20,1,,False,True,N,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,NW,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,20-40,1,,True,False,W,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,SW,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,SE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,BTSP,Black-throated Sparrow,10-20,1,,False,True,S,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,WWDO,White-winged Dove,FT,2,,True,False,S,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,HOFI,House Finch,10-20,1,,False,True,S,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,S,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,BTSP,Black-throated Sparrow,20-40,1,,False,True,SE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,BTSP,Black-throated Sparrow,20-40,1,,False,True,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,HOFI,House Finch,10-20,1,,False,True,N,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,NE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,VERD,Verdin,10-20,1,,False,True,SE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,GIWO,Gila Woodpecker,10-20,1,,False,True,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,CACW,Cactus Wren,10-20,1,,True,True,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,CBTH,Curve-billed Thrasher,FT,1,,True,False,W,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,GIWO,Gila Woodpecker,40+,1,,False,True,NE,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,GIWO,Gila Woodpecker,40+,1,,False,True,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,CBTH,Curve-billed Thrasher,40+,1,,False,True,SE,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,GTGR,Great-tailed Grackle,FT,1,,True,False,SW,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,NOMO,Northern Mockingbird,40+,1,,True,False,NW,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,GTGR,Great-tailed Grackle,20-40,1,,True,False,NW,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,EUST,European Starling,FT,6,,True,False,N,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,MODO,Mourning Dove,FT,2,,True,False,W,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,HOFI,House Finch,5-10,1,,True,True,NW,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,HOSP,House Sparrow,40+,1,,True,False,W,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,HOFI,House Finch,10-20,1,,False,True,N,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,MODO,Mourning Dove,10-20,1,,False,True,W,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,GTGR,Great-tailed Grackle,40+,1,Air traffic noise.,True,False,W,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,MODO,Mourning Dove,20-40,1,Maintenance noise.,True,False,W,
114,W-17,2000-08-09,08:15:00,08:30:00,DiSt,GTGR,Great-tailed Grackle,FT,1,,True,False,N,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,CACW,Cactus Wren,40+,1,,True,True,SE,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,LENI,Lesser Nighthawk,0-5,1,,True,False,E,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,LENI,Lesser Nighthawk,5-10,1,,True,False,W,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,CACW,Cactus Wren,40+,1,,False,True,E,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTGN,Black-tailed Gnatcatcher,20-40,1,,False,True,E,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,GIFL,Gilded Flicker,20-40,1,,False,True,NE,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTGN,Black-tailed Gnatcatcher,40+,1,,False,True,W,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTGN,Black-tailed Gnatcatcher,40+,1,,False,True,SW,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,SW,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTSP,Black-throated Sparrow,10-20,1,,True,True,NW,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTSP,Black-throated Sparrow,10-20,1,,False,True,N,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTSP,Black-throated Sparrow,20-40,1,,False,True,W,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,ATFL,Ash-throated Flycatcher,20-40,1,,False,True,E,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,MODO,Mourning Dove,FT,1,,True,False,S,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,GAQU,Gambel's Quail,40+,1,,False,True,NE,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,BTSP,Black-throated Sparrow,20-40,1,,False,True,NW,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,GIWO,Gila Woodpecker,40+,1,,True,False,W,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,CBTH,Curve-billed Thrasher,40+,1,,False,True,N,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,TUVU,Turkey Vulture,FT,4,,True,False,E,
115,AD-10,2000-08-15,08:10:00,08:25:00,DiSt,RTHA,Red-tailed Hawk,FT,2,,True,False,E,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,ANHU,Anna's Hummingbird,5-10,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,GTGR,Great-tailed Grackle,FT,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,10-20,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,N,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,S,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,GIWO,Gila Woodpecker,40+,1,,False,True,W,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,WWDO,White-winged Dove,10-20,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,GIWO,Gila Woodpecker,10-20,1,,False,True,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,INDO,Inca Dove,20-40,2,,False,True,N,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,HOSP,House Sparrow,5-10,2,,True,True,W,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,INDO,Inca Dove,FT,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,ROPI,Rock Pigeon,FT,1,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,HOSP,House Sparrow,FT,2,,True,True,SE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,NE,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,HOSP,House Sparrow,10-20,2,,True,True,SW,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,ANHU,Anna's Hummingbird,10-20,1,,True,False,W,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,HOSP,House Sparrow,10-20,2,,True,True,W,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,ROPI,Rock Pigeon,FT,10,,True,False,S,
126,Y-19,2000-08-18,08:25:00,08:40:00,BeRa,EUST,European Starling,10-20,2,,False,True,W,
